1045324904,FDNY NEW YORK CITY FIRE DEPT RESCUE 1 SHIRT S,509
1045327231,Cat's Meow HISTORICAL MUSEUM PINE,509
1045330340,"New Thomas Kinkade Journal ""End of a Perfect",510
1045333202,4 OLD METAL COOKIE CUTTERS/CHICKENS/CHICKS,510
1045336733,3- 1995 DREAMSICLES FIGURENES. NR PAYPAL,511
1045341043,teenage mutant TURTLES 1983. GRAFIK NOVEL,512
1045341232,Hallmark - BAITSHOP WITH BOAT - Pressed Tin,512
1045341471,Frog Knife Rest Qty 1 (Pewter),513
1045344452,"Gold Digger #30- Fred Perry, Manga, Furry!",514
1045345929,Vintage Metal Christmas Cookie Cutter(4),517
1045346056,Vintage kitchen Lot,518
1045346859,Estate sale find Diamond Willow Corkscrew,519
1045347222,CWU-45P FLIGHT JACKET W/USN VF-103 INSIGNIA,520
1045348061,Buffy Season 1 - A3 - Autograph Card - Willow,521
1045350187,Lladro German Shepherd Dog & Pups #6454 Ret.,546
1045350419,Lladro Squirrel Love (Set of 2 figures) Ret.,547
1045351274,Darling Jewish BRIDE &GROOM Celebration Plate,547
1045351627,Mary Moo Moo - Cute DENTIST Cow,548
1045351652,Lladro Dog & Tom Sawyer #12238 Ret. NR,549
1045351826,Superman 183 & 217 80 pg giants VG-FN,549
1045354249,STARWARS NUMBER 6 1977 MARVEL COMICS F/G,551
1045358739,SIRIUS DRAMA - LINSNER 1ST PRINT,552
1045360853,Avon Snuggly Mouse Candle Holder W/ Box 1983,555
1045361037,Silverplated Renaissance design egg cup,556
1045363331,Homco Circle of Friends FigurineTaste And See,557
1045365342,Dark Green!! Atlas Strong Shoulder Mason,559
1045365533,Precious Moments 1993 BUNDLES OF JOY,561
1045367953,SV 'Early Morning Delivery' NIB N/R,562
1045372296,Hilltop Farms Milk Bottle Peckville Pa.,563
1045372371,Irene Spencer HUG ME plate on Fairmont - N/R,565
1045380204,1888 Receipt Paxton Gallagher Omaha,567
1045382014,Avon Spring & Summer Eggs (1984),568
1045384231,Avon Ruby Red Cape Cod 2 Cordial Stems,570
1045385330,"BOOK: Longaberger, An American Tradition NICE",571
1045387051,DALMATION PORCELAIN BOTTLE STOPPER,572
1045388760,Precious Moments Star Morning Enesco Box Mint,574
1045390166,* PARK BENCHS (2) * Dept 56 Snow Village,579
1045393477,CHAMPIONS # 6 MARVEL RAMPAGE STRIKES PART 2!!,580
1045394164,Gold Key: Bonanza 31,581
1045399008,Maud Earl's Beagle Print,584
1045404382,Hallmark Classic American Car 1966 Mustang,585
1045405868,CHERISHED TEDDIES CANADIAN BOY HINGED BOX,588
1045406109,HOLLY & IVY POSTERN GATE HOUSE CHRISTMAS BELL,591
1045406821,OLD BANDED YELLOW WARE Yellowware Bowl-LARGE,592
1045407232,AMAZING SPIDER-MAN 66 Good,601
1045411293,Charming Tails~REGINALD'S NEWS STAND #87591,604
1045411403,ANGEL COOKIE JARS/JAR (DEVINE),605
1045413526,HALLMARK ADOBE CHURCH 2000 3RD MAGIC,607
1045413825,RETRO KITCHEN: SEARS CHROME BEEHIVE BLENDER,608
1045415692,Collectible Cat Plate - Adorable Kittens,609
1045416099,1944 pinup girls tatoos original display,610
1045416950,'99 1949 Cadillac Coupe deVille BIN $9.99,611
1045419344,KAMAGURKA/SEELE-Cowboy Henk-scarce OOP book,612
1045421406,2 DREAMSICLES 10679 AND 10272 NO RESERVE,613
1045422574,Pepsi bottle salt and pepper shakers,613
1045425068,*Mary's Moo MNew* dairy queen tasty treats,616
1045425542,West Germany Beer Stein,617
1045425917,"Civil War""MONITOR ON JAMES RIVER"" 1912 Print*",618
1045431640,Hallmark Ornament MR. POTATO HEAD Top Spud,619
1045433256,VINTAGE GREEK KEY DECO LINEN TABLECLOTH N/R!!,621
1045438020,Longaberger Ret APRON Traditional Holly MINT,622
1045438202,DEPT 56 NP - SLEIGH AND TINY REINDEER S/5,623
1045438837,Precious Moments Cane You Join Us...MIB,625
1045443230,"PRETTY AS A PICTURE, LIFE'S BEST GIFTS",626
1045447604,BATTLESTAR GALACTICA Comic Book #1,627
1045449303,NEW~~SET/6 FRUIT GLASS SWIZZLE/STIR STICKS,628
1045452503,DEPT 56 HV - FARM ANIMALS S/8,628
1045453249,Enesco PM June Hopechest with birthstone NMIB,629
1045456564,Elsmore KS Kansas 1895 High School Graduation,630
1045456771,Lot of 2 TARZAN #180 & #187 Gold Key 1968/69,632
1045460719,14-Hallmark Classic cars 91 to 02 + 3 BONUS,633
1045461511,PEP COMICS #272 BRONZE AGE,644
1045462001,Hallmark The Secret Garden Hardback $2.50 PP,645
1045463362,Precious Moments Figurine ~ My True Love,646
